sessid,rat,date,tethered
570173,T173,18-Jan-2018 00:00:00,0
570483,T173,19-Jan-2018 00:00:00,0
570799,T173,20-Jan-2018 00:00:00,0
571094,T173,21-Jan-2018 00:00:00,0
571409,T173,22-Jan-2018 00:00:00,0
571708,T173,23-Jan-2018 00:00:00,0
572004,T173,24-Jan-2018 00:00:00,0
572282,T173,25-Jan-2018 00:00:00,0
572594,T173,26-Jan-2018 00:00:00,0
599011,T176,03-May-2018 00:00:00,1
599635,T176,05-May-2018 00:00:00,1
600459,T176,08-May-2018 00:00:00,1
601006,T176,10-May-2018 00:00:00,1
602442,T176,15-May-2018 00:00:00,1
604149,T176,21-May-2018 00:00:00,1
604729,T176,23-May-2018 00:00:00,1
605856,T176,28-May-2018 00:00:00,1
606668,T176,31-May-2018 00:00:00,1
608468,T176,06-Jun-2018 00:00:00,1
609086,T176,08-Jun-2018 00:00:00,1
610574,T176,13-Jun-2018 00:00:00,1
612249,T176,19-Jun-2018 00:00:00,1
581895,T176,02-Mar-2018 00:00:00,0
582167,T176,03-Mar-2018 00:00:00,0
582719,T176,05-Mar-2018 00:00:00,0
583026,T176,06-Mar-2018 00:00:00,0
583317,T176,09-Mar-2018 00:00:00,0
583605,T176,10-Mar-2018 00:00:00,0
583882,T176,11-Mar-2018 00:00:00,0
584165,T176,12-Mar-2018 00:00:00,0
584485,T176,13-Mar-2018 00:00:00,0
584802,T176,14-Mar-2018 00:00:00,0
585114,T176,15-Mar-2018 00:00:00,0
585426,T176,16-Mar-2018 00:00:00,0
585714,T176,17-Mar-2018 00:00:00,0
586032,T176,18-Mar-2018 00:00:00,0
586037,T176,18-Mar-2018 00:00:00,0
586333,T176,19-Mar-2018 00:00:00,0
586547,T176,20-Mar-2018 00:00:00,0
586957,T176,23-Mar-2018 00:00:00,0
587240,T176,24-Mar-2018 00:00:00,0
587533,T176,25-Mar-2018 00:00:00,0
587853,T176,26-Mar-2018 00:00:00,0
588167,T176,27-Mar-2018 00:00:00,0
588469,T176,28-Mar-2018 00:00:00,0
588756,T176,29-Mar-2018 00:00:00,0
588765,T176,29-Mar-2018 00:00:00,0
589061,T176,30-Mar-2018 00:00:00,0
589338,T176,31-Mar-2018 00:00:00,0
616277,T181,03-Jul-2018 00:00:00,1
616379,T181,04-Jul-2018 00:00:00,1
616435,T181,05-Jul-2018 00:00:00,1
