recording_name,rat_name,date,channel_map,reference,used_in_chronic_npx_ms,cells_file,task,notes,probe serial number,ap.bin SHA1,sorted,perturbation,artifacts,representative behavior session,approximate duration (s)
"A243_banks0,1checkerboard_2019_10_01",A243,2019_10_01,"banks0,1checkerboard",,,,idle,much better noise. still reduced the gain by half from the normal amount (250/125) but no saturation. this was probabl due to connecting rig to ground. but actually i think even better is just connecting floor grate to the rig. doing this for the ten min recordings was beautiful. bank 2 very quiet except for maybe th efirst ten chans.,18194824132,,1,,,,
A249_2020_02_07,A249,2020_02_07,bank0,0,1,X:\RATTER\PhysData\NP_sorted\Adrian\A249\A249_2020_02_07\A249_2020_02_07_g0\spikesort_2020_03_13_19_06_04_ks2jrc\A249_2020_02_07_g0_t0.imec0.ap_not_curated.Cells.mat,PBups,first day of phototagging with behavior. 7mW 473nm. connection came loose so cancelled recording/session.,18194819132,,,,,,
A249_2020_02_07b,A249,2020_02_07,bank0,0,,,PBups,first day of phototagging with behavior. 7mW 473nm. g0 good but crashed. file reconstructude but not uploaded to sessions table. g1 has lt 100 trials and ran out of disk space so may be corrupted. 2nd of 3 sessions of the day is the good one.,18194819132,,,,,,
A249_2020_02_10,A249,2020_02_13,bank0,,,,PBups,couldn't get a good connection so let him train without recording. these data aren't usable.,18194819132,,,,,,
A249_2020_02_11,A249,2020_02_11,bank0,,0,,PBups,good behavior and good recroding.,18194819132,,1,,opto,1,
A249_bank0_2020_02_11_short,A249,2020_02_11,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A249\A249_bank0_2020_02_11_short\spikesort_2020_03_13_21_25_11_ks2jrc\A249_2020_02_11_g0_t0.exported.imec0.ap_not_curated.Cells.mat,PBups,good behavior and good recroding.,18194819132,,1,,opto,1,
A249_2020_02_13,A249,2020_02_13,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A249\A249_2020_02_13\A249_2020_02_13_g0\spikesort_2020_03_13_19_29_09_ks2jrc\A249_2020_02_13_g0_t0.imec0.ap_not_curated.Cells.mat,PBups,"after about 150 trials, I stopped bcontrol and phys because there were movement artifacts. tried other references but it didn;t help.",18194819132,,,,,,
A249_2020_02_13c,A249,2020_02_13,bank0,0,,,PBups,another 300 trials. lower gain. still bad movement artifacts. noise got much worse (saturating) when I checked him at the end. not sure when it started.,18194819132,,,,,,
A249_bank0_2020_02_04,A249,2020_02_04,bank0,0,1,X:\RATTER\PhysData\NP_sorted\Adrian\A249\A249_bank0_2020_02_04\A249_bank0_2020_02_04_g0\spikesort_2020_03_13_20_14_18_ks2jrc\A249_bank0_2020_02_04_g0_t0.imec0.ap_not_curated.Cells.mat,idle,day of surgery (reimplantation after explantation of failed probe),18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_1mW,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_20mW,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_7mW,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_7mW_1msramp,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_7mW_2msramp,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank0_2020_02_05_phototag_test_7mW_4msramp,A249,2020_02_05,bank0,0,,,idle,,18194819132,,,,,,
A249_bank1_2020_02_04,A249,2020_02_04,bank1,0,,,idle,day of surgery (reimplantation after explantation of failed probe),18194819132,,,,,,
A249_banks01checkerboard_2020_02_04,A249,2020_02_04,"banks0,1checkerboard",0,,,idle,day of surgery (reimplantation after explantation of failed probe),18194819132,,,,,,
A249_banks01checkerboard_2020_02_05_phototag_test_1mW,A249,2020_02_05,"banks0,1checkerboard",0,,,idle,,18194819132,,,,,,
A249_banks01checkerboard_2020_02_05_phototag_test_20mW,A249,2020_02_05,"banks0,1checkerboard",0,,,idle,,18194819132,,,,,,
A249_banks01checkerboard_2020_02_05_phototag_test_7mW,A249,2020_02_05,"banks0,1checkerboard",0,,,idle,,18194819132,,,,,,
T170_2018_02_22          ,T170,2018_02_22          ,bank0,0,,,idle,,,,,,,,
T170_2018_02_23          ,T170,2018_02_23          ,bank0,0,,,idle,,,,,,,,
T170_2018_02_26          ,T170,2018_02_26          ,bank0,0,,,idle,,,,,,,,
T170_2018_02_28_gain1000 ,T170,2018_02_28 ,bank0,0,,,idle,,,,,,,,
T170_2018_02_28_gain1500 ,T170,2018_02_28,bank0,0,,,idle,,,,,,,,
T170_2018_03_16          ,T170,2018_03_16          ,bank0,0,,,PBups,,,,,,,,
T170_2018_03_19          ,T170,2018_03_19          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_05          ,T170,2018_04_05          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_12          ,T170,2018_04_12          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_13          ,T170,2018_04_13          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_16          ,T170,2018_04_16          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_17          ,T170,2018_04_17          ,bank0,0,,,PBups,,,,,,,,
T170_2018_04_20          ,T170,2018_04_20          ,bank0,0,,,PBups,,,,,,,,
T173_bank0_2018_03_19    ,T173,2018_03_19    ,bank0,0,,,PBups,,,,,,,,
T173_bank0_2018_03_30    ,T173,2018_03_30    ,bank0,0,,,PBups,,,,,,,,
T173_bank0_2018_04_06    ,T173,2018_04_06    ,bank0,0,,,PBups,,,,,,,,
T173_bank0_2018_04_16    ,T173,2018_04_16    ,bank0,0,,,PBups,,,,,,,,
T173_bank1_2018_03_16    ,T173,2018_03_16    ,bank1,0,,,PBups,,,,,,,,
T173_bank1_2018_03_28    ,T173,2018_03_28    ,bank1,0,,,PBups,,,,,,,,
T173_bank1_2018_04_02    ,T173,2018_04_02    ,bank1,0,,,PBups,,,,,,,,
T173_bank1_2018_04_11    ,T173,2018_04_11    ,bank1,0,,,PBups,,,,,,,,
T173_bank2_2018_03_29    ,T173,2018_03_29    ,bank2,0,,,PBups,,,,,,,,
T173_bank2_2018_04_03    ,T173,2018_04_03    ,bank1,0,,,PBups,,,,,,,,
T173_bank2_2018_04_12    ,T173,2018_04_12    ,bank1,0,,,PBups,,,,,,,,
T176_2018_04_06          ,T176,2018_04_06          ,bank0,0,,,anesthetized,,,,,,,,
T176_2018_04_11          ,T176,2018_04_11          ,bank0,0,,,idle,,,,,,,,
T176_2018_04_20_idle     ,T176,2018_04_20,bank0,0,,,idle,,,,,,,,
T176_2018_04_23          ,T176,2018_04_23,bank0,0,,,PBups,,,,,,,,
T176_2018_04_23          ,T176,2018_04_23          ,bank0,0,,,PBups,,,,,,,,
T176_2018_04_24          ,T176,2018_04_24          ,bank0,0,,,PBups,,,,,,,,
T176_2018_04_25          ,T176,2018_04_25          ,bank0,0,,,PBups,,,,,,,,
T176_2018_04_26          ,T176,2018_04_26          ,bank0,0,,,PBups,,,,,,,,
